team,rpi,year
UCLA,0.607,1996
Wis-Green Bay,0.6065,1996
Utah,0.6061,1996
Marquette,0.6059,1996
New Mexico,0.601,1996
Bradley,0.5992,1996
Iowa,0.5983,1996
Temple,0.5977,1996
Indiana,0.597,1996
Duke,0.5961,1996
Maryland,0.592,1996
Santa Clara,0.5911,1996
Michigan,0.5907,1996
Georgia,0.588,1996
Eastern Mich,0.5879,1996
Virginia Tech,0.5863,1996
Arkansas,0.5804,1996
Stanford,0.5796,1996
Oklahoma,0.5795,1996
Tulsa,0.5782,1996
Clemson,0.577,1996
Kansas St,0.5754,1996
Providence,0.5733,1996
Oklahoma St,0.5717,1996
Texas,0.5713,1996
Boston College,0.5701,1996
Minnesota,0.5699,1996
New Orleans,0.569,1996
Ark-Little Rock,0.5679,1996
Illinois,0.5662,1996
George Wash,0.5651,1996
Tulane,0.5646,1996
California,0.5643,1996
Virginia,0.5636,1996
Fresno St,0.5623,1996
South Carolina,0.5608,1996
Drexel,0.5607,1996
Tennessee,0.559,1996
Iona,0.5578,1996
Florida,0.5568,1996
Wisconsin,0.5567,1996
UNC Charlotte,0.5549,1996
Princeton,0.5546,1996
Vanderbilt,0.5542,1996
Alabama,0.5541,1996
Mt St. Mary's,0.5537,1996
VCU,0.5535,1996
Fairfield,0.5526,1996
Washington St,0.5518,1996
Canisius,0.5517,1996
Coll of Charleston,0.55,1996
Illinois St,0.5496,1996
Montana St,0.548,1996
Nebraska,0.5476,1996
Miami-Ohio,0.5466,1996
Davidson,0.5457,1996
Gonzaga,0.5455,1996
North Carolina St,0.5448,1996
Michigan St,0.5441,1996
Colorado St,0.5435,1996
Monmouth,0.5421,1996
Washington,0.5418,1996
St. Louis,0.5413,1996
Butler,0.5403,1996
Detroit,0.5399,1996
Missouri,0.5393,1996
Portland,0.5392,1996
Houston,0.5384,1996
Oregon,0.5373,1996
Florida St,0.5366,1996
St. Joseph's,0.5366,1996
Manhattan,0.5358,1996
SW Missouri St,0.5352,1996
Rhode Island,0.535,1996
Marist,0.5325,1996
Rider,0.5307,1996
Auburn,0.5301,1996
Weber St,0.5298,1996
TCU,0.5292,1996
Seton Hall,0.5289,1996
San Francisco,0.5282,1996
Murray St,0.5271,1996
Western Mich,0.5264,1996
BYU,0.5262,1996
Southern Miss,0.5251,1996
Ball State,0.525,1996
Miami-Florida,0.5231,1996
St. John's,0.5203,1996
DePaul,0.5189,1996
Rice,0.5169,1996
Toledo,0.5162,1996
Ohio,0.5157,1996
Montana,0.5154,1996
Pennsylvania,0.5146,1996
Southern Cal,0.5134,1996
Northern Ill,0.513,1996
UAB,0.5126,1996
Wright St,0.5122,1996
Evansville,0.5104,1996
Boston U,0.5101,1996
Austin Peay,0.5094,1996
LA-Lafayette,0.5089,1996
LSU,0.508,1996
Western Ky,0.5077,1996
St. Peter's,0.5077,1996
Northern Iowa,0.5074,1996
Loyola-Marymnt,0.5068,1996
