team2,year,team1,round,seed1,score1,seed2,score2,score_diff,seed_diff,team1_sos,team1_osrs,team1_dsrs,team1_srs,team2_sos,team2_osrs,team2_dsrs,team2_srs
Eastern Kentucky,2007,North Carolina,First Round,1,86,16,65,21,-15,9.3,20.55,5.85,26.41,-5.28,-6.16,1.97,-4.19
Michigan State,2007,Marquette,First Round,8,49,9,61,-12,-1,6.95,8.04,6.11,14.14,8.45,1.0,15.3,16.3
Oral Roberts,2007,Washington State,First Round,3,70,14,54,16,-11,6.0,0.87,12.46,13.33,-1.04,1.83,2.71,4.54
Jackson State,2007,Florida,First Round,1,112,16,69,43,-15,7.34,13.68,10.15,23.82,-9.94,-0.43,-11.84,-12.28
Virginia Commonwealth,2007,Duke,First Round,6,77,11,79,-2,-5,10.49,5.87,12.98,18.85,0.2,7.77,1.73,9.5
Niagara,2007,Kansas,First Round,1,107,16,67,40,-15,6.86,12.51,10.11,22.62,-4.7,4.08,-7.49,-3.41
Wright State,2007,Pittsburgh,First Round,3,79,14,58,21,-11,8.53,6.74,10.25,16.99,-0.31,-4.09,6.03,1.94
Central Connecticut State,2007,Ohio State,First Round,1,78,16,57,21,-15,9.03,10.98,10.56,21.54,-6.48,-4.19,0.56,-3.63
Xavier,2007,Brigham Young,First Round,8,77,9,79,-2,-1,3.95,10.48,0.89,11.38,3.39,9.86,4.32,14.18
New Mexico State,2007,Texas,First Round,4,79,13,67,12,-9,6.12,14.84,0.77,15.6,0.01,7.06,-2.02,5.04
Stanford,2007,Louisville,First Round,6,78,11,58,20,-5,7.69,5.98,10.11,16.08,9.06,5.44,5.72,11.16
Georgia Tech,2007,UNLV,First Round,7,67,10,63,4,-3,5.37,6.49,6.5,12.98,9.36,12.37,4.8,17.17
Villanova,2007,Kentucky,First Round,8,67,9,58,9,-1,11.41,9.83,7.29,17.12,9.16,7.41,8.73,16.13
Belmont,2007,Georgetown,First Round,2,80,15,55,25,-13,9.48,5.08,14.54,19.62,-4.71,0.1,-0.49,-0.39
Long Beach State,2007,Tennessee,First Round,5,121,12,86,35,-7,9.15,15.77,-0.8,14.97,-2.07,9.11,-6.87,2.24
Davidson,2007,Maryland,First Round,4,82,13,70,12,-9,7.59,13.58,5.48,19.06,-2.26,10.36,-2.06,8.31
Purdue,2007,Arizona,First Round,8,63,9,72,-9,-1,10.76,14.69,1.55,16.24,8.89,6.0,8.65,14.65
Arkansas,2007,Southern California,First Round,5,77,12,60,17,-7,7.87,7.22,6.56,13.78,8.75,5.51,8.26,13.77
Illinois,2007,Virginia Tech,First Round,5,54,12,52,2,-7,8.26,4.69,9.66,14.35,7.09,-0.04,14.22,14.18
Gonzaga,2007,Indiana,First Round,7,70,10,57,13,-3,8.35,8.0,8.78,16.78,3.77,10.18,1.97,12.15
Holy Cross,2007,Southern Illinois,First Round,4,61,13,51,10,-9,7.53,-1.52,15.11,13.59,-3.06,-4.88,8.21,3.32
Texas Tech,2007,Boston College,First Round,7,84,10,75,9,-3,9.21,8.76,5.0,13.76,7.16,5.79,3.92,9.71
Penn,2007,Texas A&M,First Round,3,68,14,52,16,-11,5.13,9.34,11.94,21.27,-1.64,5.09,-0.93,4.16
Creighton,2007,Nevada,First Round,7,77,10,71,6,-3,1.09,9.57,1.01,10.58,6.24,2.95,9.62,12.57
Albany (N.Y.),2007,Virginia,First Round,4,84,13,57,27,-9,7.96,10.39,2.5,12.89,-4.75,-1.94,0.34,-1.6
Miami (Ohio),2007,Oregon,First Round,3,58,14,56,2,-11,6.3,10.84,5.11,15.95,2.78,-7.5,12.31,4.81
Old Dominion,2007,Butler,First Round,5,57,12,46,11,-7,3.94,1.44,12.9,14.34,0.44,2.25,5.58,7.83
Florida A&M,2007,Niagara,Play-In,16,77,16,69,8,0,-4.7,4.08,-7.49,-3.41,-7.49,-2.66,-7.07,-9.73
Florida,2006,UCLA,National Championship,2,57,3,73,-16,-1,8.27,3.19,14.15,17.34,5.49,12.24,7.97,20.21
Florida,2006,George Mason,Final Four,11,58,3,73,-15,8,2.77,1.91,10.21,12.11,5.49,12.24,7.97,20.21
UCLA,2006,LSU,Final Four,4,45,2,59,-14,2,8.77,8.79,8.75,17.54,8.27,3.19,14.15,17.34
UCLA,2006,Memphis,Elite Eight,1,45,2,50,-5,-1,4.24,13.92,4.89,18.81,8.27,3.19,14.15,17.34
George Mason,2006,Connecticut,Elite Eight,1,84,11,86,-2,-10,6.57,16.43,4.79,21.22,2.77,1.91,10.21,12.11
Florida,2006,Villanova,Elite Eight,1,62,3,75,-13,-2,9.23,10.6,8.91,19.51,5.49,12.24,7.97,20.21
Texas,2006,LSU,Elite Eight,4,70,2,60,10,2,8.77,8.79,8.75,17.54,6.99,10.42,11.47,21.89
Bradley,2006,Memphis,Sweet 16,1,80,13,64,16,-12,4.24,13.92,4.89,18.81,5.38,7.66,4.12,11.78
Washington,2006,Connecticut,Sweet 16,1,98,5,92,6,-4,6.57,16.43,4.79,21.22,5.96,18.11,-0.03,18.08
Texas,2006,West Virginia,Sweet 16,6,71,2,74,-3,4,8.54,6.45,8.05,14.51,6.99,10.42,11.47,21.89
Georgetown,2006,Florida,Sweet 16,3,57,7,53,4,-4,5.49,12.24,7.97,20.21,6.92,0.97,13.0,13.98
UCLA,2006,Gonzaga,Sweet 16,3,71,2,73,-2,1,5.02,13.46,-1.14,12.32,8.27,3.19,14.15,17.34
Wichita State,2006,George Mason,Sweet 16,11,63,7,55,8,4,2.77,1.91,10.21,12.11,4.72,3.87,7.59,11.45
LSU,2006,Duke,Sweet 16,1,54,4,62,-8,-3,8.77,16.73,5.04,21.77,8.77,8.79,8.75,17.54
Boston College,2006,Villanova,Sweet 16,1,60,4,59,1,-3,9.23,10.6,8.91,19.51,6.1,7.52,6.27,13.79
Bucknell,2006,Memphis,Second Round,1,72,9,56,16,-8,4.24,13.92,4.89,18.81,-2.29,-2.51,9.81,7.29
Tennessee,2006,Wichita State,Second Round,7,80,2,73,7,5,4.72,3.87,7.59,11.45,7.76,15.85,-1.12,14.73
Kentucky,2006,Connecticut,Second Round,1,87,8,83,4,-7,6.57,16.43,4.79,21.22,8.88,6.35,6.77,13.12
Northwestern State,2006,West Virginia,Second Round,6,67,14,54,13,-8,8.54,6.45,8.05,14.51,-1.38,4.63,-0.62,4.01
Gonzaga,2006,Indiana,Second Round,6,80,3,90,-10,3,7.36,6.89,5.21,12.1,5.02,13.46,-1.14,12.32
Bradley,2006,Pittsburgh,Second Round,5,66,13,72,-6,-8,7.01,6.76,9.61,16.37,5.38,7.66,4.12,11.78
North Carolina,2006,George Mason,Second Round,11,65,3,60,5,8,2.77,1.91,10.21,12.11,7.77,14.58,3.9,18.48
George Washington,2006,Duke,Second Round,1,70,8,64,6,-7,8.77,16.73,5.04,21.77,-0.33,12.24,-2.61,9.63
UCLA,2006,Alabama,Second Round,10,59,2,62,-3,8,8.08,6.19,4.6,10.79,8.27,3.19,14.15,17.34
Arizona,2006,Villanova,Second Round,1,82,8,78,4,-7,9.23,10.6,8.91,19.51,10.09,10.51,4.61,15.12
Illinois,2006,Washington,Second Round,5,67,4,64,3,1,5.96,18.11,-0.03,18.08,6.29,4.6,12.59,17.2
Ohio State,2006,Georgetown,Second Round,7,70,2,52,18,5,6.92,0.97,13.0,13.98,5.9,8.75,7.34,16.08
Texas,2006,North Carolina State,Second Round,10,54,2,75,-21,8,5.63,7.62,5.08,12.7,6.99,10.42,11.47,21.89
LSU,2006,Texas A&M,Second Round,12,57,4,58,-1,8,4.77,2.29,10.9,13.19,8.77,8.79,8.75,17.54
Boston College,2006,Montana,Second Round,12,56,4,69,-13,8,-0.96,6.6,-1.75,4.86,6.1,7.52,6.27,13.79
Florida,2006,Milwaukee,Second Round,11,60,3,82,-22,8,1.47,5.71,1.94,7.65,5.49,12.24,7.97,20.21
Belmont,2006,UCLA,First Round,2,78,15,44,34,-13,8.27,3.19,14.15,17.34,-6.72,6.22,-9.76,-3.53
Oral Roberts,2006,Memphis,First Round,1,94,16,78,16,-15,4.24,13.92,4.89,18.81,-2.35,3.3,-0.07,3.23
Seton Hall,2006,Wichita State,First Round,7,86,10,66,20,-3,4.72,3.87,7.59,11.45,6.11,2.86,3.91,6.78
Albany (N.Y.),2006,Connecticut,First Round,1,72,16,59,13,-15,6.57,16.43,4.79,21.22,-4.25,-0.45,0.01,-0.44
Southern Illinois,2006,West Virginia,First Round,6,64,11,46,18,-5,8.54,6.45,8.05,14.51,4.62,-4.15,13.08,8.93
Alabama,2006,Marquette,First Round,7,85,10,90,-5,-3,8.16,9.9,1.43,11.33,8.08,6.19,4.6,10.79
San Diego State,2006,Indiana,First Round,6,87,11,83,4,-5,7.36,6.89,5.21,12.1,3.65,7.63,2.18,9.81
Murray St.,2006,North Carolina,First Round,3,69,14,65,4,-11,7.77,14.58,3.9,18.48,-5.07,-1.3,5.46,4.16
George Mason,2006,Michigan State,First Round,6,65,11,75,-10,-5,7.27,9.98,2.26,12.24,2.77,1.91,10.21,12.11
Northwestern State,2006,Iowa,First Round,3,63,14,64,-1,-11,6.8,0.84,13.34,14.18,-1.38,4.63,-0.62,4.01
South Alabama,2006,Florida,First Round,3,76,14,50,26,-11,5.49,12.24,7.97,20.21,-2.18,3.96,0.92,4.88
Xavier,2006,Gonzaga,First Round,3,79,14,75,4,-11,5.02,13.46,-1.14,12.32,1.99,5.73,4.38,10.11
Bradley,2006,Kansas,First Round,4,73,13,77,-4,-9,7.6,9.07,10.95,20.02,5.38,7.66,4.12,11.78
Kent State,2006,Pittsburgh,First Round,5,79,12,64,15,-7,7.01,6.76,9.61,16.37,0.0,4.23,2.04,6.27
Southern,2006,Duke,First Round,1,70,16,54,16,-15,8.77,16.73,5.04,21.77,-6.69,-6.53,0.56,-5.97
Davidson,2006,Ohio State,First Round,2,70,15,62,8,-13,5.9,8.75,7.34,16.08,-3.04,5.01,-3.13,1.89
Bucknell,2006,Arkansas,First Round,8,55,9,59,-4,-1,6.17,7.91,7.1,15.01,-2.29,-2.51,9.81,7.29
Air Force,2006,Illinois,First Round,4,78,13,69,9,-9,6.29,4.6,12.59,17.2,2.49,-4.54,14.74,10.2
Texas A&M,2006,Syracuse,First Round,5,58,12,66,-8,-7,8.16,8.15,3.53,11.68,4.77,2.29,10.9,13.19
Penn,2006,Texas,First Round,2,60,15,52,8,-13,6.99,10.42,11.47,21.89,-2.31,0.18,5.83,6.01
Monmouth,2006,Villanova,First Round,1,58,16,45,13,-15,9.23,10.6,8.91,19.51,-4.05,-5.77,2.77,-2.99
Winthrop,2006,Tennessee,First Round,2,63,15,61,2,-13,7.76,15.85,-1.12,14.73,-4.93,0.13,6.14,6.28
Alabama-Birmingham,2006,Kentucky,First Round,8,72,9,59,13,-1,8.88,6.35,6.77,13.12,1.57,7.47,2.16,9.64
Utah State,2006,Washington,First Round,5,75,12,61,14,-7,5.96,18.11,-0.03,18.08,1.79,3.6,4.16,7.76
Northern Iowa,2006,Georgetown,First Round,7,54,10,49,5,-3,6.92,0.97,13.0,13.98,5.13,0.53,11.02,11.55
Wisconsin,2006,Arizona,First Round,8,94,9,75,19,-1,10.09,10.51,4.61,15.12,7.24,7.77,5.37,13.14
North Carolina State,2006,California,First Round,7,52,10,58,-6,-3,8.84,4.05,8.25,12.31,5.63,7.62,5.08,12.7
UNC Wilmington,2006,George Washington,First Round,8,88,9,85,3,-1,-0.33,12.24,-2.61,9.63,0.57,-0.07,8.97,8.9
Iona,2006,LSU,First Round,4,80,13,64,16,-9,8.77,8.79,8.75,17.54,-0.78,7.92,-1.06,6.86
Milwaukee,2006,Oklahoma,First Round,6,74,11,82,-8,-5,6.79,4.42,7.47,11.89,1.47,5.71,1.94,7.65
Pacific,2006,Boston College,First Round,4,88,13,76,12,-9,6.1,7.52,6.27,13.79,-1.57,2.87,4.07,6.93
Montana,2006,Nevada,First Round,5,79,12,87,-8,-7,2.26,5.11,5.05,10.16,-0.96,6.6,-1.75,4.86
Hampton,2006,Monmouth,Play-In,16,71,16,49,22,0,-4.05,-5.77,2.77,-2.99,-12.56,-5.91,-4.26,-10.17
North Carolina,2005,Illinois,National Championship,1,70,1,75,-5,0,8.48,12.23,11.88,24.11,10.66,23.52,4.9,28.42
Michigan State,2005,North Carolina,Final Four,1,87,5,71,16,-4,10.66,23.52,4.9,28.42,7.41,13.85,6.63,20.47
Louisville,2005,Illinois,Final Four,1,75,4,58,17,-3,8.48,12.23,11.88,24.11,6.17,13.82,8.74,22.56
Wisconsin,2005,North Carolina,Elite Eight,1,88,6,82,6,-5,10.66,23.52,4.9,28.42,9.61,3.7,13.06,16.76
Kentucky,2005,Michigan State,Elite Eight,5,94,2,88,6,3,7.41,13.85,6.63,20.47,8.1,9.01,10.15,19.16
West Virginia,2005,Louisville,Elite Eight,4,93,7,85,8,-3,6.17,13.82,8.74,22.56,7.62,5.77,6.0,11.76
Arizona,2005,Illinois,Elite Eight,1,90,3,89,1,-2,8.48,12.23,11.88,24.11,8.02,13.78,4.22,18.0
North Carolina State,2005,Wisconsin,Sweet 16,6,65,10,56,9,-4,9.61,3.7,13.06,16.76,9.15,6.86,9.29,16.15
Villanova,2005,North Carolina,Sweet 16,1,67,5,66,1,-4,10.66,23.52,4.9,28.42,8.43,9.72,9.34,19.06
Michigan State,2005,Duke,Sweet 16,1,68,5,78,-10,-4,10.05,13.0,10.02,23.01,7.41,13.85,6.63,20.47
Milwaukee,2005,Illinois,Sweet 16,1,77,12,63,14,-11,8.48,12.23,11.88,24.11,1.45,8.29,2.13,10.42
Louisville,2005,Washington,Sweet 16,1,79,4,93,-14,-3,7.65,20.97,-1.21,19.76,6.17,13.82,8.74,22.56
Oklahoma State,2005,Arizona,Sweet 16,3,79,2,78,1,1,8.02,13.78,4.22,18.0,9.67,13.69,7.71,21.39
West Virginia,2005,Texas Tech,Sweet 16,6,60,7,65,-5,-1,9.11,11.27,4.97,16.23,7.62,5.77,6.0,11.76
Kentucky,2005,Utah,Sweet 16,6,52,2,62,-10,4,4.53,-1.28,15.28,14.0,8.1,9.01,10.15,19.16
Wake Forest,2005,West Virginia,Second Round,7,111,2,105,6,5,7.62,5.77,6.0,11.76,10.27,20.23,0.01,20.24
Bucknell,2005,Wisconsin,Second Round,6,71,14,62,9,-8,9.61,3.7,13.06,16.76,-2.19,-5.26,7.38,2.12
Kentucky,2005,Cincinnati,Second Round,7,60,2,69,-9,5,6.74,10.04,7.6,17.64,8.1,9.01,10.15,19.16
Arizona,2005,Alabama-Birmingham,Second Round,11,63,3,85,-22,8,4.77,10.91,-0.5,10.41,8.02,13.78,4.22,18.0
Iowa State,2005,North Carolina,Second Round,1,92,9,65,27,-8,10.66,23.52,4.9,28.42,8.4,3.14,8.23,11.37
Vermont,2005,Michigan State,Second Round,5,72,13,61,11,-8,7.41,13.85,6.63,20.47,-1.95,3.58,4.22,7.8
Mississippi State,2005,Duke,Second Round,1,63,9,55,8,-8,10.05,13.0,10.02,23.01,6.05,6.94,5.61,12.55
Florida,2005,Villanova,Second Round,5,76,4,65,11,1,8.43,9.72,9.34,19.06,7.13,10.39,9.8,20.19
Nevada,2005,Illinois,Second Round,1,71,9,59,12,-8,8.48,12.23,11.88,24.11,3.02,0.77,8.48,9.25
Louisville,2005,Georgia Tech,Second Round,5,54,4,76,-22,1,9.77,9.41,7.8,17.21,6.17,13.82,8.74,22.56
Pacific,2005,Washington,Second Round,1,97,8,79,18,-7,7.65,20.97,-1.21,19.76,1.15,5.18,3.76,8.94
Boston College,2005,Milwaukee,Second Round,12,85,4,63,22,8,1.45,8.29,2.13,10.42,6.42,7.49,6.9,14.38
Gonzaga,2005,Texas Tech,Second Round,6,71,3,69,2,3,9.11,11.27,4.97,16.23,4.36,12.53,0.76,13.29
Connecticut,2005,North Carolina State,Second Round,10,65,2,62,3,8,9.15,6.86,9.29,16.15,7.62,13.23,5.58,18.81
Oklahoma,2005,Utah,Second Round,6,67,3,58,9,3,4.53,-1.28,15.28,14.0,8.84,9.43,10.54,19.96
Oklahoma State,2005,Southern Illinois,Second Round,7,77,2,85,-8,5,5.13,1.11,10.43,11.54,9.67,13.69,7.71,21.39
Creighton,2005,West Virginia,First Round,7,63,10,61,2,-3,7.62,5.77,6.0,11.76,3.85,4.55,5.59,10.14
Northern Iowa,2005,Wisconsin,First Round,6,57,11,52,5,-5,9.61,3.7,13.06,16.76,5.29,5.47,4.65,10.12
Central Florida,2005,Connecticut,First Round,2,77,15,71,6,-13,7.62,13.23,5.58,18.81,-7.78,-6.35,1.44,-4.91
Iowa,2005,Cincinnati,First Round,7,76,10,64,12,-3,6.74,10.04,7.6,17.64,9.34,10.21,4.77,14.98
Oakland,2005,North Carolina,First Round,1,96,16,68,28,-15,10.66,23.52,4.9,28.42,0.86,1.82,-4.48,-2.66
Ohio,2005,Florida,First Round,4,67,13,62,5,-9,7.13,10.39,9.8,20.19,1.82,3.99,1.4,5.39
Old Dominion,2005,Michigan State,First Round,5,89,12,81,8,-7,7.41,13.85,6.63,20.47,-2.59,0.35,5.62,5.97
Winthrop,2005,Gonzaga,First Round,3,74,14,64,10,-11,4.36,12.53,0.76,13.29,-6.66,-5.43,5.91,0.48
Bucknell,2005,Kansas,First Round,3,63,14,64,-1,-11,10.85,12.24,8.44,20.68,-2.19,-5.26,7.38,2.12
Delaware State,2005,Duke,First Round,1,57,16,46,11,-15,10.05,13.0,10.02,23.01,-6.89,-9.38,2.71,-6.68
Louisiana-Lafayette,2005,Louisville,First Round,4,68,13,62,6,-9,6.17,13.82,8.74,22.56,1.9,3.37,2.33,5.7
New Mexico,2005,Villanova,First Round,5,55,12,47,8,-7,8.43,9.72,9.34,19.06,1.5,6.36,4.72,11.08
Iowa State,2005,Minnesota,First Round,8,53,9,64,-11,-1,7.0,4.04,8.06,12.1,8.4,3.14,8.23,11.37
Vermont,2005,Syracuse,First Round,4,57,13,60,-3,-9,6.83,9.18,6.77,15.95,-1.95,3.58,4.22,7.8
Milwaukee,2005,Alabama,First Round,5,73,12,83,-10,-7,6.81,9.53,7.22,16.75,1.45,8.29,2.13,10.42
Fairleigh Dickinson,2005,Illinois,First Round,1,67,16,55,12,-15,8.48,12.23,11.88,24.11,-6.91,1.19,-5.32,-4.13
Nevada,2005,Texas,First Round,8,57,9,61,-4,-1,7.56,10.89,4.6,15.49,3.02,0.77,8.48,9.25
George Washington,2005,Georgia Tech,First Round,5,80,12,68,12,-7,9.77,9.41,7.8,17.21,1.05,9.66,0.96,10.62
Montana,2005,Washington,First Round,1,88,16,77,11,-15,7.65,20.97,-1.21,19.76,-3.5,-1.44,-2.2,-3.64
Eastern Kentucky,2005,Kentucky,First Round,2,72,15,64,8,-13,8.1,9.01,10.15,19.16,-5.18,-1.55,-1.13,-2.68
Utah State,2005,Arizona,First Round,3,66,14,53,13,-11,8.02,13.78,4.22,18.0,-1.48,3.5,9.25,12.75
Southeastern Louisiana,2005,Oklahoma State,First Round,2,63,15,50,13,-13,9.67,13.69,7.71,21.39,-5.23,-11.44,10.57,-0.87
UCLA,2005,Texas Tech,First Round,6,78,11,66,12,-5,9.11,11.27,4.97,16.23,7.08,7.63,1.53,9.15
Chattanooga,2005,Wake Forest,First Round,2,70,15,54,16,-13,10.27,20.23,0.01,20.24,-3.58,-2.1,0.73,-1.37
Pittsburgh,2005,Pacific,First Round,8,79,9,71,8,-1,1.15,5.18,3.76,8.94,5.73,6.84,7.69,14.53
North Carolina State,2005,Charlotte,First Round,7,63,10,75,-12,-3,3.97,11.8,-2.17,9.62,9.15,6.86,9.29,16.15
Niagara,2005,Oklahoma,First Round,3,84,14,67,17,-11,8.84,9.43,10.54,19.96,-3.09,13.31,-10.19,3.12
Mississippi State,2005,Stanford,First Round,8,70,9,93,-23,-1,8.12,4.29,4.8,9.09,6.05,6.94,5.61,12.55
UTEP,2005,Utah,First Round,6,60,11,54,6,-5,4.53,-1.28,15.28,14.0,0.91,7.28,2.32,9.6
Penn,2005,Boston College,First Round,4,85,13,65,20,-9,6.42,7.49,6.9,14.38,-1.98,0.27,4.44,4.71
St. Mary's (Cal.),2005,Southern Illinois,First Round,7,65,10,56,9,-3,5.13,1.11,10.43,11.54,2.4,1.01,5.67,6.68
Alabama-Birmingham,2005,LSU,First Round,6,68,11,82,-14,-5,7.77,10.39,1.21,11.6,4.77,10.91,-0.5,10.41
Alabama A&M,2005,Oakland,Play-In,16,79,16,69,10,0,0.86,1.82,-4.48,-2.66,-12.86,-3.78,-8.18,-11.96
Connecticut,2004,Georgia Tech,National Championship,3,73,2,82,-9,1,11.21,11.6,9.06,20.66,7.77,14.17,8.47,22.64
Connecticut,2004,Duke,Final Four,1,78,2,79,-1,-1,10.86,15.78,9.9,25.67,7.77,14.17,8.47,22.64
Oklahoma State,2004,Georgia Tech,Final Four,3,67,2,65,2,1,11.21,11.6,9.06,20.66,7.23,10.54,10.3,20.85
Xavier,2004,Duke,Elite Eight,1,66,7,63,3,-6,10.86,15.78,9.9,25.67,5.84,4.66,9.18,13.84
Georgia Tech,2004,Kansas,Elite Eight,4,71,3,79,-8,1,9.44,11.12,5.98,17.1,11.21,11.6,9.06,20.66
Connecticut,2004,Alabama,Elite Eight,8,71,2,87,-16,6,10.2,8.58,5.71,14.29,7.77,14.17,8.47,22.64
Oklahoma State,2004,St. Joseph's,Elite Eight,1,62,2,64,-2,-1,4.97,11.01,9.03,20.03,7.23,10.54,10.3,20.85
Connecticut,2004,Vanderbilt,Sweet 16,6,53,2,73,-20,4,7.57,7.32,8.37,15.69,7.77,14.17,8.47,22.64
Kansas,2004,Alabama-Birmingham,Sweet 16,9,74,4,100,-26,5,5.62,9.21,2.54,11.75,9.44,11.12,5.98,17.1
Oklahoma State,2004,Pittsburgh,Sweet 16,3,51,2,63,-12,1,6.49,2.4,15.8,18.2,7.23,10.54,10.3,20.85
Illinois,2004,Duke,Sweet 16,1,72,5,62,10,-4,10.86,15.78,9.9,25.67,7.09,8.42,8.52,16.93
Syracuse,2004,Alabama,Sweet 16,8,80,5,71,9,3,10.2,8.58,5.71,14.29,7.61,8.0,5.07,13.06
Xavier,2004,Texas,Sweet 16,3,71,7,79,-8,-4,8.4,10.46,8.06,18.52,5.84,4.66,9.18,13.84
Nevada,2004,Georgia Tech,Sweet 16,3,72,10,67,5,-7,11.21,11.6,9.06,20.66,5.82,9.33,5.58,14.91
Wake Forest,2004,St. Joseph's,Sweet 16,1,84,4,80,4,-3,4.97,11.01,9.03,20.03,11.03,19.39,-0.94,18.45
North Carolina State,2004,Vanderbilt,Second Round,6,75,3,73,2,3,7.57,7.32,8.37,15.69,10.61,7.39,11.06,18.45
Alabama,2004,Stanford,Second Round,1,67,8,70,-3,-7,4.33,4.9,12.56,17.46,10.2,8.58,5.71,14.29
Pittsburgh,2004,Wisconsin,Second Round,6,55,3,59,-4,3,7.49,4.02,14.94,18.96,6.49,2.4,15.8,18.2
Oklahoma State,2004,Memphis,Second Round,7,53,2,70,-17,5,5.96,7.13,5.93,13.06,7.23,10.54,10.3,20.85
Texas,2004,North Carolina,Second Round,6,75,3,78,-3,3,12.04,18.51,0.89,19.4,8.4,10.46,8.06,18.52
Mississippi State,2004,Xavier,Second Round,7,89,2,74,15,5,5.84,4.66,9.18,13.84,6.08,11.76,5.02,16.78
Seton Hall,2004,Duke,Second Round,1,90,8,62,28,-7,10.86,15.78,9.9,25.67,7.78,7.31,6.97,14.28
Maryland,2004,Syracuse,Second Round,5,72,4,70,2,1,7.61,8.0,5.07,13.06,11.68,12.12,4.85,16.96
Cincinnati,2004,Illinois,Second Round,5,92,4,68,24,1,7.09,8.42,8.52,16.93,6.28,11.39,7.37,18.75
Alabama-Birmingham,2004,Kentucky,Second Round,1,75,9,76,-1,-8,8.54,8.82,10.01,18.83,5.62,9.21,2.54,11.75
Connecticut,2004,DePaul,Second Round,7,55,2,72,-17,5,6.38,5.18,3.89,9.06,7.77,14.17,8.47,22.64
Texas Tech,2004,St. Joseph's,Second Round,1,70,8,65,5,-7,4.97,11.01,9.03,20.03,8.21,7.49,7.22,14.71
Wake Forest,2004,Manhattan,Second Round,12,80,4,84,-4,8,-1.25,3.44,5.86,9.3,11.03,19.39,-0.94,18.45
Georgia Tech,2004,Boston College,Second Round,6,54,3,57,-3,3,7.17,3.45,8.54,11.99,11.21,11.6,9.06,20.66
Gonzaga,2004,Nevada,Second Round,10,91,2,72,19,8,5.82,9.33,5.58,14.91,3.32,13.83,5.1,18.94
Kansas,2004,Pacific,Second Round,12,63,4,78,-15,8,0.95,1.26,4.51,5.76,9.44,11.12,5.98,17.1
Western Michigan,2004,Vanderbilt,First Round,6,71,11,58,13,-5,7.57,7.32,8.37,15.69,0.2,8.01,3.99,12.0
Texas-San Antonio,2004,Stanford,First Round,1,71,16,45,26,-15,4.33,4.9,12.56,17.46,-6.11,-1.03,-6.19,-7.22
Vermont,2004,Connecticut,First Round,2,70,15,53,17,-13,7.77,14.17,8.47,22.64,-6.36,-4.57,1.83,-2.74
Richmond,2004,Wisconsin,First Round,6,76,11,64,12,-5,7.49,4.02,14.94,18.96,5.07,-1.65,11.72,10.07
South Carolina,2004,Memphis,First Round,7,59,10,43,16,-3,5.96,7.13,5.93,13.06,5.33,4.95,7.81,12.77
East Tennessee State,2004,Cincinnati,First Round,4,80,13,77,3,-9,6.28,11.39,7.37,18.75,-3.15,6.33,-2.14,4.19
Manhattan,2004,Florida,First Round,5,60,12,75,-15,-7,9.19,11.84,4.44,16.28,-1.25,3.44,5.86,9.3
Air Force,2004,North Carolina,First Round,6,63,11,52,11,-5,12.04,18.51,0.89,19.4,0.08,-9.42,18.54,9.12
Nevada,2004,Michigan State,First Round,7,66,10,72,-6,-3,8.38,8.72,3.43,12.15,5.82,9.33,5.58,14.91
Central Florida,2004,Pittsburgh,First Round,3,53,14,44,9,-11,6.49,2.4,15.8,18.2,-5.87,-4.65,6.52,1.86
Louisville,2004,Xavier,First Round,7,80,10,70,10,-3,5.84,4.66,9.18,13.84,6.97,7.8,10.8,18.6
Alabama State,2004,Duke,First Round,1,96,16,61,35,-15,10.86,15.78,9.9,25.67,-10.78,-12.51,1.41,-11.1
Valparaiso,2004,Gonzaga,First Round,2,76,15,49,27,-13,3.32,13.83,5.1,18.94,0.01,0.82,-0.91,-0.09
Illinois-Chicago,2004,Kansas,First Round,4,78,13,53,25,-9,9.44,11.12,5.98,17.1,-0.47,0.74,5.26,6.0
Southern Illinois,2004,Alabama,First Round,8,65,9,64,1,-1,10.2,8.58,5.71,14.29,2.64,3.22,7.49,10.71
Brigham Young,2004,Syracuse,First Round,5,80,12,75,5,-7,7.61,8.0,5.07,13.06,6.31,7.66,5.04,12.7
Murray St.,2004,Illinois,First Round,5,72,12,53,19,-7,7.09,8.42,8.52,16.93,-3.2,8.51,-1.29,7.22
Princeton,2004,Texas,First Round,3,80,14,70,10,-11,8.4,10.46,8.06,18.52,-3.31,-8.15,9.69,1.54
UTEP,2004,Maryland,First Round,4,86,13,83,3,-9,11.68,12.12,4.85,16.96,3.55,9.85,1.57,11.42
Northern Iowa,2004,Georgia Tech,First Round,3,65,14,60,5,-11,11.21,11.6,9.06,20.66,3.21,2.88,3.99,6.87
Florida A&M,2004,Kentucky,First Round,1,96,16,76,20,-15,8.54,8.82,10.01,18.83,-7.94,1.06,-10.91,-9.85
Alabama-Birmingham,2004,Washington,First Round,8,100,9,102,-2,-1,6.42,15.48,-6.02,9.46,5.62,9.21,2.54,11.75
Eastern Washington,2004,Oklahoma State,First Round,2,75,15,56,19,-13,7.23,10.54,10.3,20.85,-0.34,0.06,0.78,0.83
Charlotte,2004,Texas Tech,First Round,8,76,9,73,3,-1,8.21,7.49,7.22,14.71,4.7,13.42,-1.18,12.24
