team2,year,team1,round,seed1,score1,seed2,score2,score_diff,seed_diff,team1_sos,team1_osrs,team1_dsrs,team1_srs,team2_sos,team2_osrs,team2_dsrs,team2_srs
New Mexico State,2018,Clemson,First Round,5,79,12,68,11,-7,9.25,4.91,12.25,17.16,-1.1,1.87,7.19,9.06
Providence,2018,Texas A&M,First Round,7,73,10,69,4,-3,10.62,6.36,8.95,15.3,10.23,3.47,7.65,11.12
Texas Southern,2018,Xavier,First Round,1,102,16,83,19,-15,9.43,15.18,3.88,19.06,-5.53,2.19,-9.71,-7.53
Cal State Fullerton,2018,Purdue,First Round,2,74,15,48,26,-13,8.74,12.91,10.5,23.41,-1.03,-0.27,-0.66,-0.93
Wright State,2018,Tennessee,First Round,3,73,14,47,26,-11,10.12,5.78,12.42,18.2,-3.64,-4.33,4.91,0.58
Georgia State,2018,Cincinnati,First Round,2,68,15,53,15,-13,3.53,3.05,17.2,20.25,-2.78,0.04,3.18,3.22
College of Charleston,2018,Auburn,First Round,4,62,13,58,4,-9,7.29,12.84,3.13,15.97,-3.29,-1.6,3.43,1.83
San Diego State,2018,Houston,First Round,6,67,11,65,2,-5,4.16,7.34,8.65,15.99,3.91,4.84,7.39,12.23
Florida State,2018,Missouri,First Round,8,54,9,67,-13,-1,9.19,4.1,9.71,13.81,8.5,12.0,3.78,15.78
St. Bonaventure,2018,Florida,First Round,6,77,11,62,15,-5,10.08,8.15,8.52,16.66,2.61,5.9,2.97,8.87
Texas,2018,Nevada,First Round,7,87,10,83,4,-3,4.93,12.64,1.8,14.44,10.67,3.68,10.28,13.96
South Dakota State,2018,Ohio State,First Round,5,81,12,73,8,-7,9.02,7.67,10.0,17.67,-0.38,8.68,-1.84,6.84
Stephen F. Austin,2018,Texas Tech,First Round,3,70,14,60,10,-11,9.6,5.29,14.09,19.38,-6.47,1.51,1.16,2.66
North Carolina State,2018,Seton Hall,First Round,8,94,9,83,11,-1,10.11,10.68,4.99,15.67,6.7,12.67,0.24,12.91
Oklahoma,2018,Rhode Island,First Round,7,83,10,78,5,-3,4.61,4.97,6.84,11.81,10.56,17.15,-3.34,13.81
UCLA,2018,St. Bonaventure,Play-In,11,65,11,58,7,0,2.61,5.9,2.97,8.87,6.86,11.87,0.2,12.07
Texas Southern,2018,North Carolina Central,Play-In,16,46,16,64,-18,0,-12.31,-11.13,-2.06,-13.18,-5.53,2.19,-9.71,-7.53
Radford,2018,Long Island,Play-In,16,61,16,71,-10,0,-8.19,-0.12,-8.48,-8.6,-4.09,-7.39,4.78,-2.62
Syracuse,2018,Arizona State,Play-In,11,56,11,60,-4,0,6.55,13.8,0.56,14.37,10.02,-2.38,15.26,12.89
North Carolina,2017,Gonzaga,National Championship,1,65,1,71,-6,0,4.13,12.79,12.47,25.26,11.76,16.92,7.91,24.84
Gonzaga,2017,South Carolina,Final Four,7,73,1,77,-4,6,10.16,5.2,12.32,17.52,4.13,12.79,12.47,25.26
North Carolina,2017,Oregon,Final Four,3,76,1,77,-1,2,8.38,9.52,11.29,20.8,11.76,16.92,7.91,24.84
Kentucky,2017,North Carolina,Elite Eight,1,75,2,73,2,-1,11.76,16.92,7.91,24.84,10.49,16.92,6.96,23.88
Xavier,2017,Gonzaga,Elite Eight,1,83,11,59,24,-10,4.13,12.79,12.47,25.26,11.51,7.6,7.2,14.8
Oregon,2017,Kansas,Elite Eight,1,60,3,74,-14,-2,12.23,16.58,6.95,23.53,8.38,9.52,11.29,20.8
South Carolina,2017,Florida,Elite Eight,4,70,7,77,-7,-3,11.01,11.36,11.04,22.4,10.16,5.2,12.32,17.52
Butler,2017,North Carolina,Sweet 16,1,92,4,80,12,-3,11.76,16.92,7.91,24.84,10.23,8.45,9.25,17.7
Kentucky,2017,UCLA,Sweet 16,3,75,2,86,-11,1,6.39,20.52,0.15,20.67,10.49,16.92,6.96,23.88
West Virginia,2017,Gonzaga,Sweet 16,1,61,4,58,3,-3,4.13,12.79,12.47,25.26,9.67,14.63,9.83,24.45
Purdue,2017,Kansas,Sweet 16,1,98,4,66,32,-3,12.23,16.58,6.95,23.53,8.79,11.54,8.59,20.13
South Carolina,2017,Baylor,Sweet 16,3,50,7,70,-20,-4,11.87,4.89,14.86,19.75,10.16,5.2,12.32,17.52
Arizona,2017,Xavier,Sweet 16,11,73,2,71,2,9,11.51,7.6,7.2,14.8,7.63,7.47,10.79,18.25
Michigan,2017,Oregon,Sweet 16,3,69,7,68,1,-4,8.38,9.52,11.29,20.8,10.17,7.68,11.13,18.8
Florida,2017,Wisconsin,Sweet 16,8,83,4,84,-1,4,9.4,3.85,15.56,19.4,11.01,11.36,11.04,22.4
West Virginia,2017,Notre Dame,Second Round,5,71,4,83,-12,1,9.78,10.0,7.81,17.81,9.67,14.63,9.83,24.45
Louisville,2017,Michigan,Second Round,7,73,2,69,4,5,10.17,7.68,11.13,18.8,11.15,10.35,12.13,22.47
Florida,2017,Virginia,Second Round,5,39,4,65,-26,1,10.93,-1.49,22.12,20.63,11.01,11.36,11.04,22.4
Arkansas,2017,North Carolina,Second Round,1,72,8,65,7,-7,11.76,16.92,7.91,24.84,8.6,10.56,3.48,14.04
Kentucky,2017,Wichita State,Second Round,10,62,2,65,-3,8,2.96,10.67,10.57,21.24,10.49,16.92,6.96,23.88
Purdue,2017,Iowa State,Second Round,5,76,4,80,-4,1,11.94,12.54,7.97,20.51,8.79,11.54,8.59,20.13
Northwestern,2017,Gonzaga,Second Round,1,79,8,73,6,-7,4.13,12.79,12.47,25.26,8.43,2.9,11.12,14.02
Michigan State,2017,Kansas,Second Round,1,90,9,70,20,-8,12.23,16.58,6.95,23.53,10.5,4.2,9.47,13.67
