2000-2001 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
285,Coastal Carolina,20-Aug,0.4069,269,0.4472,,
286,TX-Pan American,17-Aug,0.4062,302,0.435,,
287,Robert Morris,22-Jul,0.4059,239,0.4607,,
288,Sacred Heart,21-Jul,0.4055,245,0.4574,,
289,Stephen F. Austin,17-Jul,0.4048,282,0.4426,,
290,Army,18-Jul,0.4042,273,0.4457,,
,,,,,,,
,,,,,,,
291,SE Louisiana,21-Jul,0.4016,253,0.4522,,
292,Northern Ill,22-Apr,0.4012,184,0.4837,,
293,CS Fullerton,22-Mar,0.3987,156,0.4916,,
294,Jackson St,22-Jul,0.3982,262,0.4505,,
295,Centenary,17-May,0.3973,250,0.454,,
296,Charleston So,19-Jul,0.397,294,0.4396,,
297,Western Car,24-May,0.3966,214,0.4714,,
298,Campbell,21-Jul,0.3946,281,0.4429,,
299,VMI,19-Jul,0.3945,298,0.4362,,
300,North Texas,24-Feb,0.394,139,0.4997,,
,,,,,,,
,,,,,,,
301,Eastern Ky,19-Apr,0.3936,223,0.4668,,
302,Chicago St,23-Apr,0.3932,207,0.4749,,
303,Dartmouth,19-Jul,0.3922,306,0.4332,,
304,Florida A&M,22-Jun,0.3918,261,0.451,,
305,Texas Southern,22-Jul,0.391,290,0.4408,,
306,Mt St. Mary's,21-Jul,0.3898,297,0.4363,,
307,Morgan St,23-Jun,0.3888,266,0.4495,,
308,Middle Tenn St,22-Apr,0.3878,227,0.4658,,
309,Eastern Mich,25-Mar,0.3854,197,0.4782,,
310,Hartford,24-Apr,0.385,228,0.4657,,
,,,,,,,
,,,,,,,
311,Cornell,20-Jun,0.3843,300,0.4355,,
312,Elon,20-Jul,0.3825,312,0.4236,,
313,Quinnipiac,21-May,0.3811,280,0.444,,
314,Prairie View A&M,22-May,0.3795,277,0.4443,,
315,St. Mary's,25-Jan,0.3778,157,0.491,,
316,High Point,20-May,0.3762,303,0.4349,,
317,Albany,21-May,0.3734,304,0.4338,,
318,Sacramento St,21-Mar,0.3619,289,0.4409,,
319,Ark-Pine Bluff,25-Feb,0.3616,244,0.4575,,
"© 1994-2005 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,
