2018-2019 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Mon Jan 27 2020, 2:12 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
112,Princeton,14-12,0.5328,15.2,11.2,0.5758,0.5230 (114),0.5094,112,0.5185,,,,
113,Utah,17-14,0.5322,15.4,14,0.5238,0.5389 (91),0.5273,89,0.535,,,,
114,Stony Brook,23-8,0.5321,24.6,8.4,0.7455,0.4570 (267),0.4689,272,0.461,,,,
115,Central Michigan,20-11,0.532,18.8,10.6,0.6395,0.4895 (188),0.5097,169,0.4962,,,,
116,Texas St,22-9,0.5311,22.4,8.2,0.732,0.4497 (281),0.4932,259,0.4642,,,,
117,Austin Peay,20-11,0.5309,20,9,0.6897,0.4774 (225),0.479,227,0.4779,,,,
118,Arizona,17-15,0.5292,13.8,14.2,0.4929,0.5460 (79),0.5319,76,0.5413,12,12,,
119,Brown,17-11,0.5291,15.8,9,0.6371,0.4916 (180),0.4962,181,0.4931,,,,
120,Loyola Marymount,18-11,0.528,17.2,10.2,0.6277,0.4840 (203),0.5161,176,0.4947,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
121,Grand Canyon,19-13,0.5279,16.6,11,0.6014,0.5071 (140),0.4959,147,0.5034,,,,
122,Oklahoma St,20-Dec,0.5278,9.6,19.2,0.3333,0.6053 (9),0.5673,7,0.5926,,,,
123,Jacksonville St,22-9,0.5277,22.4,6.6,0.7724,0.4252 (326),0.4879,310,0.4461,,,,
124,Texas A&M,14-18,0.5275,12,18.4,0.3947,0.5857 (25),0.5437,27,0.5717,,,,
125,Abilene Christian,23-6,0.5248,23.4,5.2,0.8182,0.4100 (340),0.4612,336,0.4271,,,,
126,St. Bonaventure,18-16,0.5248,16.4,15.2,0.519,0.5391 (89),0.5021,98,0.5267,,,,
127,Omaha,20-11,0.5246,20,8.6,0.6993,0.4646 (250),0.4699,253,0.4664,,,,
128,South Dakota St,23-8,0.5233,20.6,6.4,0.763,0.4275 (324),0.4754,316,0.4435,,,,
129,Missouri,15-17,0.5227,12.2,16.6,0.4236,0.5550 (67),0.5569,56,0.5557,14,15,,
130,Miami (FL),14-18,0.5224,9.6,16,0.375,0.5869 (22),0.5408,29,0.5715,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
131,Loyola (Chicago),19-13,0.522,16.2,12.2,0.5704,0.5112 (131),0.495,141,0.5058,,,,
132,Southern Illinois,17-15,0.5195,16.2,14.6,0.526,0.5260 (110),0.5001,114,0.5173,,,,
133,Gardner-Webb,20-11,0.5176,19.2,7.4,0.7218,0.4418 (299),0.465,299,0.4495,,,,
134,NJIT,20-12,0.5174,20.8,10.4,0.6667,0.4643 (251),0.4743,251,0.4676,,,,
135,South Florida,18-13,0.5163,14.4,12.6,0.5333,0.5048 (147),0.5223,128,0.5106,,,,
136,Eastern Michigan,17-Nov,0.5151,9.8,15.8,0.3828,0.5781 (33),0.5214,48,0.5592,,,,
137,Connecticut,16-17,0.5148,11.2,15.8,0.4148,0.5549 (68),0.5344,66,0.5481,23,,,
138,SMU,15-17,0.5143,12.2,17.4,0.4122,0.5583 (63),0.5286,64,0.5484,,,,
139,UT San Antonio,14-14,0.5142,12.8,12.4,0.5079,0.5252 (111),0.4986,117,0.5163,,,,
140,Prairie View A&M,21-12,0.5134,20.6,7.2,0.741,0.4335 (312),0.4455,325,0.4375,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
141,UT Rio Grande Valley,17-16,0.5133,17,16.4,0.509,0.5272 (107),0.4897,118,0.5147,,,,
142,Stanford,15-16,0.5125,12.6,14,0.4737,0.5180 (118),0.5403,99,0.5254,,,,
143,Sam Houston,18-11,0.5119,17.6,8.6,0.6718,0.4583 (263),0.4592,277,0.4586,,,,
144,Rutgers,14-17,0.5117,11.6,16.2,0.4173,0.5390 (90),0.5514,73,0.5431,,,,
145,Louisiana,17-13,0.5116,16.6,11.8,0.5845,0.4827 (206),0.4965,198,0.4873,,,,
146,UAB,18-14,0.5114,16.8,14,0.5455,0.4982 (165),0.5038,158,0.5001,,,,
147,Wright St,19-13,0.5112,15.8,11,0.5896,0.4845 (202),0.4863,205,0.4851,,,,
148,Northern Iowa,14-18,0.5109,12.4,16.4,0.4306,0.5591 (62),0.4948,83,0.5377,,,,
149,Ohio,13-17,0.5106,10.2,15,0.4048,0.5612 (58),0.5153,71,0.5459,,,,
150,Miami (OH),13-17,0.5093,11.4,15,0.4318,0.5463 (78),0.5128,87,0.5351,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
151,UT Arlington,16-16,0.5091,15.6,14,0.527,0.5008 (158),0.5076,148,0.5031,,,,
152,George Mason,18-15,0.5084,16,15,0.5161,0.5058 (145),0.506,140,0.5058,,,,
153,Akron,15-16,0.5067,10.6,13.2,0.4454,0.5326 (98),0.5162,97,0.5271,,,,
154,Georgia Tech,14-18,0.5064,10.8,17.2,0.3857,0.5493 (73),0.5414,68,0.5467,,,,
155,USC,16-17,0.5054,12,15.4,0.438,0.5280 (105),0.5274,96,0.5278,,,,
156,Northern Colorado,19-11,0.5049,20.2,10.2,0.6645,0.4422 (298),0.4708,297,0.4517,,,,
157,UC Santa Barbara,20-10,0.5036,18.8,8.8,0.6812,0.4317 (316),0.4698,315,0.4444,,,,
158,Bradley,19-14,0.5035,17.4,13.2,0.5686,0.4710 (233),0.5034,219,0.4818,,,,
159,North Texas,18-12,0.5032,16.4,10.8,0.6029,0.4568 (268),0.4964,248,0.47,,,,
160,Cornell,13-15,0.5031,12.6,12.2,0.5081,0.5003 (160),0.5038,152,0.5014,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
161,Florida Intl,15-13,0.5027,13.8,11.4,0.5476,0.4833 (205),0.4965,195,0.4877,,,,
162,Winthrop,15-12,0.5014,14.6,10,0.5935,0.4710 (234),0.4701,244,0.4707,,,,
163,Northern Illinois,15-17,0.5009,13.8,15.8,0.4662,0.5124 (128),0.5127,123,0.5125,,,,
164,DePaul,15-15,0.5006,11.4,13.8,0.4524,0.5050 (146),0.5399,115,0.5166,,,,
165,Hartford,17-15,0.5003,16.6,13,0.5608,0.4846 (200),0.4711,225,0.4801,,,,
166,Boston College,14-17,0.4995,10.8,17,0.3885,0.5357 (96),0.5382,86,0.5366,,,,
167,Holy Cross,16-17,0.4978,15.2,15,0.5033,0.5018 (152),0.4843,170,0.4959,,,,
168,North Florida,14-17,0.4974,12.8,13,0.4961,0.5022 (151),0.489,165,0.4978,,,,
169,Duquesne,19-13,0.4973,15,12.6,0.5435,0.4703 (238),0.5054,216,0.482,,,,
170,Notre Dame,14-19,0.4965,10,18.6,0.3497,0.5440 (81),0.5482,72,0.5454,20,21,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
171,UL Monroe,17-15,0.4963,13.8,11,0.5565,0.4671 (244),0.4944,232,0.4762,,,,
172,North Dakota St,16-15,0.4955,14.4,12.6,0.5333,0.4896 (186),0.4694,214,0.4829,,,,
173,UNLV,17-14,0.4954,15.4,14.8,0.5099,0.4827 (207),0.5063,190,0.4906,18,18,,
174,CS Fullerton,14-17,0.4954,12.8,13.8,0.4812,0.5086 (136),0.4831,157,0.5001,,,,
175,Ball State,15-17,0.4951,15.8,17,0.4817,0.4901 (184),0.5185,159,0.4996,,,,
176,Illinois St,16-16,0.4948,12.4,13.6,0.4769,0.4958 (176),0.5107,154,0.5008,,,,
177,Pepperdine,15-18,0.4948,12.6,15.6,0.4468,0.5145 (124),0.5034,127,0.5108,,,,
178,Wake Forest,20-Nov,0.4939,8.2,19.2,0.2993,0.5673 (51),0.5418,50,0.5588,,,,
179,Illinois,21-Dec,0.4939,8.8,20.2,0.3034,0.5596 (60),0.5528,51,0.5573,,,,
180,Campbell,17-12,0.4938,15.4,10.8,0.5878,0.4623 (252),0.4628,265,0.4625,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
181,Green Bay,15-16,0.4932,12.6,12.4,0.504,0.4910 (182),0.4868,191,0.4896,,,,
182,St. Francis (PA),16-14,0.493,14.4,11.6,0.5538,0.4786 (219),0.4611,241,0.4728,,,,
183,Pittsburgh,14-19,0.4928,9.6,17.4,0.3556,0.5389 (92),0.5379,82,0.5386,,,,
184,Saint Joseph's,14-19,0.4926,10.8,17.4,0.383,0.5361 (95),0.5153,94,0.5292,,,,
185,Santa Clara,15-15,0.4923,13,15,0.4643,0.4967 (170),0.5113,150,0.5016,,,,
186,Missouri St,15-16,0.4916,13,14,0.4815,0.4938 (177),0.4975,173,0.495,,,,
187,Pacific,18-Dec,0.4909,11.2,16.8,0.4,0.5290 (102),0.5057,103,0.5212,,,,
188,William & Mary,13-17,0.4906,11.8,14.6,0.447,0.5112 (132),0.493,142,0.5051,,,,
