2002-2003 RPI,,,,,,,,,
,,,,,,,,,
RPI calculations are based on games against Division I opponents only.,,,,,,,,,
,,,,,,,,,
Click on team name for schedule and results.,,,,,,,,,
,,,,,,,,,
"Last updated Sun Mar 16 2003, 4:28 PM",,,,,,,,,
,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,SOS,,Polls,
Rank,School,W-L,RPI,OWP,OOWP,Rank,Rating,AP,USA
175,Idaho St,13-14,0.4898,0.4971,0.4834,163,0.4925,,
176,Marist,13-16,0.489,0.5105,0.4866,141,0.5025,,
177,La Tech,15-Oct,0.4882,0.5194,0.5141,107,0.5176,,
178,South Carolina St,20-10,0.4881,0.4166,0.4524,314,0.4285,,
179,New Orleans,13-14,0.488,0.4898,0.4909,168,0.4902,,
180,Jacksonville St,19-10,0.4877,0.4137,0.4681,312,0.4318,,
,,,,,,,,,
,,,,,,,,,
181,McNeese St,13-14,0.4868,0.4949,0.4759,172,0.4886,,
182,Akron,13-14,0.4866,0.4855,0.494,173,0.4883,,
183,Winthrop,18-10,0.4863,0.4167,0.4688,310,0.4341,,
184,Cal Poly,15-14,0.4851,0.4703,0.4826,225,0.4744,,
185,Eastern Ill,13-15,0.4851,0.4911,0.494,166,0.492,,
186,UNC Asheville,13-16,0.4844,0.5111,0.467,154,0.4964,,
187,Hampton,19-11,0.4841,0.428,0.447,309,0.4343,,
188,Miami-Florida,17-Nov,0.4838,0.4999,0.5428,120,0.5142,,
189,Birmingham Southern,17-9,0.4828,0.4079,0.4617,318,0.4258,,
190,Quinnipiac,16-12,0.4827,0.4482,0.4631,278,0.4532,,
,,,,,,,,,
,,,,,,,,,
191,Boise St,16-Dec,0.4815,0.501,0.4955,148,0.4992,,
192,Bradley,18-Nov,0.4814,0.522,0.5024,114,0.5155,,
193,Monmouth,15-13,0.4811,0.4603,0.4682,252,0.4629,,
194,Florida A&M,17-12,0.481,0.4477,0.4424,296,0.4459,,
195,Old Dominion,15-Dec,0.4803,0.4921,0.4924,164,0.4922,,
196,Marshall,13-15,0.4802,0.4775,0.5017,181,0.4856,,
197,TCU,19-Sep,0.4801,0.5405,0.5179,80,0.5329,,
198,SW Texas St,15-12,0.48,0.4445,0.4756,274,0.4549,,
199,Oakland,15-11,0.4799,0.4369,0.4687,293,0.4475,,
200,Virginia Tech,18-Nov,0.4792,0.5031,0.5312,122,0.5124,,
,,,,,,,,,
,,,,,,,,,
201,Delaware St,15-12,0.4787,0.4519,0.4554,279,0.4531,,
202,Penn State,21-Jul,0.4783,0.5653,0.5324,51,0.5543,,
203,Prairie View A&M,17-12,0.4775,0.4323,0.4592,303,0.4413,,
204,Samford,15-Dec,0.4748,0.4916,0.4715,184,0.4849,,
205,Eastern Mich,14-Dec,0.4747,0.4695,0.4982,209,0.4791,,
206,Pacific,16-Dec,0.4728,0.491,0.4805,176,0.4875,,
207,Harvard,15-Nov,0.4725,0.4991,0.4687,170,0.489,,
208,Santa Clara,15-Dec,0.4711,0.4684,0.5031,208,0.4799,,
209,Massachusetts,18-Oct,0.4706,0.5006,0.5242,127,0.5084,,
210,Montana,16-Dec,0.4705,0.4801,0.4932,186,0.4844,,
,,,,,,,,,
,,,,,,,,,
211,Central Conn,15-13,0.4699,0.4398,0.4643,291,0.448,,
212,Binghamton,14-13,0.4697,0.4438,0.4727,277,0.4534,,
213,Rider,16-Dec,0.4687,0.4768,0.4928,198,0.4821,,
214,Northern Ariz,13-13,0.4684,0.4414,0.491,260,0.4579,,
215,Georgia So,13-13,0.4678,0.4456,0.4802,264,0.4571,,
216,Maine,16-Dec,0.4657,0.4882,0.4579,212,0.4781,,
217,Texas Southern,18-12,0.4657,0.4099,0.443,320,0.4209,,
218,Georgia St,13-15,0.4654,0.458,0.4814,244,0.4658,,
219,Houston,20-Aug,0.4653,0.5259,0.5236,93,0.5251,,
220,CS Northridge,13-15,0.465,0.4568,0.4819,245,0.4652,,
,,,,,,,,,
,,,,,,,,,
221,St. Francis-PA,14-14,0.4644,0.4487,0.4602,280,0.4525,,
222,Illinois St,21-Aug,0.4641,0.5394,0.5018,87,0.5269,,
223,Charleston So,14-Dec,0.4641,0.4654,0.4639,247,0.4649,,
