2007-2008 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Tue Mar 18 2008, 12:41 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
92,California,16-15,0.5428,14,15.8,0.4698,0.5779 (30),0.5455,28,0.5671,,,,
93,Tulsa,20-13,0.5419,16,9.8,0.6202,0.5209 (111),0.5057,117,0.5159,,,,
94,San Diego,20-13,0.5414,18,12.6,0.5882,0.5368 (87),0.5039,100,0.5258,,,,
95,Utah,16-14,0.5413,13.6,11.6,0.5397,0.5552 (60),0.515,73,0.5418,,,,
96,Nebraska,19-12,0.5389,13.4,10,0.5726,0.5255 (105),0.532,94,0.5277,,,,
97,Valparaiso,19-13,0.5387,16.6,11.4,0.5929,0.5223 (110),0.5171,110,0.5206,,,,
98,Georgia,16-16,0.5385,12.8,14.8,0.4638,0.5750 (35),0.5402,38,0.5634,,,,
99,Sam Houston,19-8,0.5382,18.2,6.8,0.728,0.4676 (238),0.4896,225,0.4749,,,,
100,Wake Forest,17-13,0.5374,11.8,9.8,0.5463,0.5252 (106),0.553,86,0.5345,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
101,Minnesota,20-13,0.5372,16.8,11.4,0.5957,0.5090 (139),0.5352,113,0.5177,,,,
102,UTEP,19-13,0.5359,15,9.8,0.6048,0.5144 (124),0.5099,121,0.5129,,,,
103,North Carolina St,15-16,0.5353,11.8,14.8,0.4436,0.5738 (36),0.55,30,0.5659,,,,
104,Illinois,16-19,0.5345,14.4,19.4,0.426,0.5869 (19),0.538,23,0.5706,,,,
105,Bradley,17-15,0.5335,15.4,14.6,0.5133,0.5473 (73),0.526,75,0.5402,,,,
106,Brown,19-9,0.5326,19.4,7.8,0.7132,0.4677 (237),0.4819,232,0.4724,,,,
107,Southern Miss,15-14,0.5313,13.4,11.2,0.5447,0.5349 (89),0.5106,98,0.5268,,,,
108,Winthrop,20-11,0.531,18.4,9.8,0.6525,0.4955 (169),0.4804,178,0.4905,,,,
109,Rider,23-10,0.5309,22.2,8.4,0.7255,0.4531 (271),0.492,256,0.4661,,,,
110,Middle Tenn St,16-15,0.5309,14,14.2,0.4965,0.5653 (50),0.4965,69,0.5423,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
111,CS Northridge,19-10,0.5308,19,9.2,0.6738,0.4827 (196),0.4842,197,0.4832,,,,
112,Providence,15-16,0.5305,11.8,14.8,0.4436,0.5635 (52),0.5514,44,0.5595,,,,
113,Seton Hall,17-15,0.53,14.2,14.2,0.5,0.5438 (79),0.5326,76,0.54,,,,
114,Alabama,17-16,0.5298,12.2,14.4,0.4586,0.5632 (53),0.534,55,0.5535,,,,
115,Marist,18-14,0.529,16.4,12,0.5775,0.5224 (109),0.4937,122,0.5128,,,,
116,Niagara,19-10,0.5286,18.2,8,0.6947,0.4667 (241),0.4864,230,0.4733,,,,
117,Missouri,16-16,0.5279,11.6,14,0.4531,0.5586 (57),0.5411,57,0.5528,,,,
118,Cincinnati,13-18,0.5273,10.2,16.8,0.3778,0.5916 (12),0.5484,11,0.5772,,,,
119,Western Michigan,20-12,0.5271,18.4,8.8,0.6765,0.4620 (249),0.5078,217,0.4773,,,,
120,Richmond,16-14,0.5255,14.8,13.6,0.5211,0.5296 (102),0.5219,96,0.527,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
121,Washington,16-16,0.5251,12.8,15.6,0.4507,0.5518 (64),0.5461,60,0.5499,,,,
122,Wagner,23-8,0.5246,21.8,7.2,0.7517,0.4358 (300),0.4752,294,0.4489,,,,
123,Missouri St,16-16,0.5245,11.6,12.4,0.4833,0.5444 (78),0.5258,80,0.5382,,,,
124,New Mexico St,20-14,0.5235,16,12.4,0.5634,0.5174 (118),0.496,131,0.5103,,,,
125,UNC Greensboro,19-12,0.5233,17.8,10,0.6403,0.4819 (199),0.4892,193,0.4843,,,,
126,UNC Wilmington,20-13,0.5232,17.2,10.6,0.6187,0.4899 (179),0.4944,177,0.4914,,,,
127,Virginia,15-15,0.523,12.2,14.6,0.4552,0.5428 (81),0.5512,62,0.5456,,,,
128,Indiana St,14-16,0.5227,10.4,11.6,0.4727,0.5449 (77),0.5283,78,0.5394,,,,
129,Old Dominion,17-15,0.5221,14.2,13.4,0.5145,0.5328 (100),0.5083,101,0.5246,,,,
130,Duquesne,17-13,0.522,14.6,11.4,0.5615,0.5051 (149),0.5163,133,0.5089,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
131,Northern Iowa,17-14,0.522,15.4,13.6,0.531,0.5120 (133),0.5328,112,0.5189,,,,
132,Georgia So,18-12,0.5219,16.8,10,0.6269,0.4868 (182),0.4872,185,0.4869,,,,
133,Boston College,14-17,0.5217,10.4,17.4,0.3741,0.5853 (22),0.5423,22,0.5709,,,,
134,Morgan St,21-10,0.5211,19,7.2,0.7252,0.4468 (286),0.4656,287,0.4531,,,,
135,Robert Morris,26-7,0.521,27.2,7.8,0.7771,0.4112 (326),0.4844,323,0.4356,,,,
136,UIC,17-15,0.5199,14.6,11.8,0.553,0.5043 (152),0.518,134,0.5089,,,,
137,Saint Louis,15-15,0.5198,11.8,13.4,0.4683,0.5400 (85),0.531,83,0.537,,,,
138,South Carolina,14-18,0.5191,12,19.2,0.3846,0.5736 (37),0.5446,36,0.5639,,,,
139,Northern Arizona,19-11,0.5183,17,9.4,0.6439,0.4756 (211),0.4781,220,0.4765,,,,
140,Pacific,20-10,0.5179,19.2,8.8,0.6857,0.4490 (281),0.4881,269,0.462,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
141,Loyola (Maryland),19-14,0.5167,17,10.4,0.6204,0.4774 (207),0.4915,201,0.4821,,,,
142,North Texas,17-11,0.5166,13.4,8.6,0.6091,0.4802 (203),0.4971,189,0.4858,,,,
143,UNC Asheville,19-9,0.5156,17,7.8,0.6855,0.4532 (269),0.4704,273,0.4589,,,,
144,Marshall,14-14,0.5152,10.8,12.4,0.4655,0.5431 (80),0.5092,90,0.5318,,,,
145,East Tenn St,18-13,0.5152,16.8,10.6,0.6131,0.4859 (185),0.4758,200,0.4825,,,,
146,Chattanooga,16-13,0.5151,13.2,11.4,0.5366,0.5152 (121),0.4934,136,0.5079,,,,
147,UT Arlington,17-11,0.5127,14.6,9,0.6186,0.4782 (206),0.4758,214,0.4774,,,,
148,UW Green Bay,15-15,0.511,11.8,11.4,0.5086,0.5138 (128),0.5075,125,0.5117,,,,
149,Holy Cross,15-14,0.5107,14.6,13.2,0.5252,0.5142 (126),0.4894,144,0.5059,,,,
150,Hampton,18-12,0.5088,15.6,9.2,0.629,0.4712 (224),0.4639,245,0.4688,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
151,Lamar,15-11,0.5085,13,8.6,0.6019,0.4735 (219),0.4851,216,0.4773,,,,
152,UC Irvine,17-16,0.5075,13.8,12.8,0.5188,0.5111 (136),0.4891,151,0.5038,,,,
153,Auburn,14-16,0.507,12.4,16,0.4366,0.5339 (94),0.5234,91,0.5304,,,,
154,Appalachian St,17-13,0.5069,16.6,11.8,0.5845,0.4770 (208),0.4892,207,0.4811,,,,
155,William & Mary,15-16,0.5065,14.2,14,0.5035,0.5139 (127),0.4946,139,0.5075,,,,
156,St. John's,19-Nov,0.5061,9,18.6,0.3261,0.5774 (32),0.5436,29,0.5662,,,,
157,Penn State,15-16,0.5061,10.6,14.4,0.424,0.5343 (93),0.5316,88,0.5334,,,,
158,DePaul,19-Nov,0.5055,9.4,18.6,0.3357,0.5693 (43),0.5477,40,0.5621,,,,
159,Mt St. Mary's,18-14,0.5048,18.8,14,0.5732,0.4863 (184),0.4734,203,0.482,,,,
160,Tulane,16-15,0.5042,14,14.2,0.4965,0.5000 (158),0.5205,141,0.5068,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
161,Colorado,20-Nov,0.5034,10.2,19.6,0.3423,0.5681 (47),0.5352,48,0.5571,,,,
162,UCF,16-15,0.5029,12.4,13.4,0.4806,0.5086 (140),0.5137,130,0.5103,,,,
163,La Salle,14-17,0.5026,15.2,17,0.472,0.5086 (141),0.5209,123,0.5127,,,,
164,Jacksonville,17-13,0.5023,16.6,9.8,0.6288,0.4608 (251),0.4589,271,0.4601,,,,
165,Sacred Heart,18-14,0.5001,18,13.2,0.5769,0.4740 (216),0.4757,226,0.4746,,,,
166,New Orleans,17-13,0.5,18.2,13.8,0.5687,0.4700 (229),0.4912,218,0.4771,,,,
167,Air Force,14-14,0.4978,11.2,12.4,0.4746,0.5070 (144),0.5025,145,0.5055,,,,
168,Fordham,17-Nov,0.4974,9.8,16.2,0.3769,0.5468 (74),0.5193,82,0.5376,,,,
169,Oakland,15-14,0.4973,13.8,12,0.5349,0.4830 (192),0.4882,192,0.4847,,,,
170,Northeastern,14-17,0.4965,13.6,13,0.5113,0.4844 (188),0.5059,176,0.4916,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
171,Colgate,18-14,0.4965,17.6,12.4,0.5867,0.4579 (259),0.4833,253,0.4664,,,,
172,UA Little Rock,18-11,0.4964,16,9.4,0.6299,0.4302 (312),0.4954,289,0.4519,,,,
173,Michigan,22-Oct,0.4963,8.4,21.6,0.28,0.5866 (20),0.532,26,0.5684,,,,
174,LSU,18-Dec,0.4955,9.6,17.2,0.3582,0.5405 (84),0.5426,74,0.5412,,,,
175,Lafayette,15-15,0.4953,14.6,13.4,0.5214,0.4935 (175),0.473,186,0.4866,,,,
176,Fairfield,14-16,0.495,14,14.8,0.4861,0.4995 (159),0.4949,164,0.498,,,,
177,Hartford,18-16,0.4936,15.6,12,0.5652,0.4714 (222),0.4666,240,0.4698,,,,
178,UW Milwaukee,13-16,0.4934,11.8,16,0.4245,0.5177 (115),0.5137,115,0.5164,,,,
179,South Florida,19-Dec,0.493,10.4,18.2,0.3636,0.5337 (95),0.5409,84,0.5361,,,,
180,Iowa State,13-18,0.493,9,16.4,0.3543,0.5426 (82),0.5324,79,0.5392,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
181,Delaware,14-17,0.4929,13.6,14.6,0.4823,0.4993 (161),0.4906,165,0.4964,,,,
182,UL Lafayette,14-15,0.4928,13.6,14.2,0.4892,0.4955 (170),0.4909,170,0.4939,,,,
183,Yale,15-Dec,0.4896,11.2,13,0.4628,0.5112 (134),0.4735,162,0.4986,,,,
184,Central Michigan,13-16,0.4893,12.2,12.4,0.4959,0.4783 (205),0.5046,184,0.4871,,,,
185,George Washington,17-Sep,0.4848,6.2,13.8,0.31,0.5521 (63),0.525,67,0.5431,,,,
186,Santa Clara,13-16,0.483,13,14.8,0.4676,0.4840 (190),0.4964,181,0.4881,,,,
187,Toledo,19-Nov,0.4821,7.8,14.2,0.3545,0.5330 (97),0.5078,102,0.5246,,,,
188,Murray St,16-13,0.4798,12.8,10.2,0.5565,0.4539 (266),0.4549,284,0.4543,,,,
