1997-1998 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
294,Central Conn,21-Apr,0.3813,235,0.4551,,
295,Winthrop,17-May,0.3808,283,0.4319,,
296,Morehead St,23-Mar,0.3793,211,0.4673,,
297,Miss Valley St,19-May,0.3752,286,0.4308,,
298,Troy St,19-Jun,0.3751,295,0.4202,,
299,NE Illinois,19-Apr,0.3702,277,0.4356,,
300,Coastal Carolina,17-Jun,0.3695,303,0.4057,,
,,,,,,,
,,,,,,,
301,Charleston So,22-Mar,0.3562,278,0.435,,
302,SE Louisiana,20-Apr,0.3548,297,0.4175,,
303,Chicago St,25-Feb,0.3525,263,0.4453,,
304,Mercer,21-Mar,0.3503,292,0.4254,,
305,Bethune-Cookman,25-Jan,0.3472,252,0.4501,,
306,Sacramento St,22-Jan,0.3418,270,0.4412,,
"© 1994-2005 by Palm Sports Resources, Inc. All rights reserved.",,,,,,,
