1995-1996 RPI,,,,,,,
,,,,,,,
All records reflect games between Division I teams only,,,,,,,
,,,,,,,
Click on team name for schedule and results.,,,,,,,
,,,,,,,
Shaded teams made the tournament.,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,SOS,,Polls,
Rank,School,W-L,RPI,Rank,Rating,AP,USA
177,Dayton,15-14,0.4833,202,0.472,,
178,Liberty,15-12,0.4819,237,0.4574,,
179,Illinois-Chi,18-Sep,0.48,81,0.5289,,
180,Stephen F. Austin,15-11,0.4798,264,0.4475,,
,,,,,,,
,,,,,,,
181,Maine,15-13,0.4773,235,0.4578,,
182,Middle Tenn St,13-12,0.4767,222,0.4623,,
183,San Jose St,13-16,0.4767,168,0.4862,,
184,Charleston So,13-13,0.4761,211,0.4681,,
185,Harvard,14-11,0.4759,263,0.4479,,
186,UTEP,16-Oct,0.4745,134,0.5044,,
187,Niagara,13-15,0.4742,193,0.4775,,
188,Western Car,15-11,0.4727,282,0.438,,
189,McNeese St,15-12,0.4726,269,0.445,,
190,La Salle,24-Jun,0.4724,34,0.5632,,
,,,,,,,
,,,,,,,
191,TX-San Antonio,13-13,0.4714,225,0.4618,,
192,North Texas,15-13,0.4708,258,0.4492,,
193,American,15-Nov,0.4706,167,0.4864,,
194,UC Irvine,15-12,0.4698,277,0.4412,,
195,Pepperdine,18-Sep,0.4692,114,0.5145,,
196,Southern Ill,17-Oct,0.468,139,0.5006,,
197,Oregon St,22-Apr,0.4677,21,0.5724,,
198,SE Louisiana,13-12,0.4672,256,0.4496,,
199,Southern U,13-11,0.467,275,0.4421,,
200,UNC Asheville,14-10,0.4664,289,0.4274,,
,,,,,,,
,,,,,,,
201,SMU,20-Jun,0.4661,63,0.5446,,
202,James Madison,20-Oct,0.4649,129,0.5088,,
203,Wis-Milwaukee,18-Aug,0.4647,106,0.517,,
204,Bucknell,15-11,0.4642,291,0.4267,,
205,Idaho,16-Oct,0.464,158,0.4904,,
206,Duquesne,18-Sep,0.4636,130,0.5071,,
207,Lamar,15-Oct,0.4627,171,0.4836,,
208,Chattanooga,13-12,0.4613,276,0.4417,,
209,New Mexico St,15-Oct,0.4607,181,0.4809,,
210,Mercer,13-14,0.4606,249,0.4537,,
,,,,,,,
,,,,,,,
211,Buffalo,13-14,0.4583,253,0.4505,,
212,Eastern Ill,15-Dec,0.4578,223,0.4623,,
213,Baylor,17-Aug,0.4578,135,0.5037,,
214,Vermont,14-Nov,0.4577,219,0.4636,,
215,Southern Utah,13-Nov,0.457,242,0.4565,,
216,South Alabama,15-Oct,0.4553,198,0.4737,,
217,Eastern Ky,14-Nov,0.4551,228,0.4601,,
218,Tennessee Tech,15-Oct,0.4545,200,0.4727,,
219,Indiana St,16-Oct,0.4545,190,0.4779,,
220,Missouri-KC,15-Dec,0.4542,236,0.4574,,
,,,,,,,
,,,,,,,
221,Central Conn,15-Dec,0.4535,243,0.4565,,
222,UNLV,16-Oct,0.4528,197,0.4755,,
223,Wichita St,21-Aug,0.4522,121,0.511,,
224,Tenn-Martin,14-Oct,0.4514,220,0.463,,
225,UC Santa Barbara,15-Nov,0.4503,231,0.4594,,
226,Northwestern,20-Jul,0.4489,119,0.5121,,
