Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
184,Navy,Patriot,,19,11,71.1,64.7,6.37,,-7.49,,-5.03,1.25,-3.79,,,
185,Northern Illinois,MAC (West),,10,16,67.8,68.1,-0.23,,-1.87,,-5.50,1.59,-3.91,,,
186,UNC Asheville,Big South,,19,9,71.5,66.9,4.64,,-5.95,,-3.96,-0.31,-4.27,,,
187,Wright State,MW Coll,,10,18,67.2,71.8,-4.57,,1.51,,-2.55,-1.80,-4.35,,,
188,Lafayette,Patriot,,19,9,74.9,68.0,6.86,,-8.19,,-0.73,-3.69,-4.42,,,
189,Hartford,AEC,,15,12,79.2,78.4,0.81,,-4.73,,5.79,-10.44,-4.65,,,
190,Manhattan,MAAC,,12,17,65.6,69.4,-3.83,,-0.89,,-6.78,2.06,-4.72,,,
191,Austin Peay,OVC,,17,11,71.9,67.5,4.43,,-7.23,,-5.37,0.64,-4.73,,,
192,Saint Francis (PA),NEC,,17,10,69.3,66.6,2.70,,-7.46,,-6.62,1.81,-4.81,,,
193,Eastern Illinois,OVC,,16,11,74.4,71.6,2.81,,-5.89,,0.41,-5.30,-4.89,,,
194,American,CAA,,9,19,61.6,65.5,-3.89,,-0.50,,-8.32,3.41,-4.91,,,
195,Loyola (IL),MW Coll,,15,15,66.6,68.2,-1.63,,-1.34,,-5.29,0.29,-4.99,,,
196,Mount St. Mary's,NEC,,13,15,71.4,70.8,0.61,,-5.60,,-3.39,-1.61,-4.99,,,
197,James Madison,CAA,,11,16,64.0,67.7,-3.70,,-1.30,,-5.69,0.69,-5.01,,,
198,Virginia Commonwealth,CAA,,9,19,63.8,67.1,-3.29,,-1.73,,-5.56,0.54,-5.01,,,
199,Central Florida,TAAC (East),,17,11,76.1,71.4,4.71,,-7.94,,0.99,-6.09,-5.09,,,
200,Radford,Big South,,20,10,75.7,72.1,3.63,,-9.38,,0.07,-5.32,-5.25,,,
201,Western Kentucky,Sun Belt,,10,19,65.7,69.7,-3.97,,-1.31,,-5.93,0.65,-5.28,,,
202,Nicholls State,Southland,,19,10,76.8,75.7,1.17,,-5.94,,2.12,-7.45,-5.33,,,
203,Little Rock,Sun Belt,,15,13,67.4,69.0,-1.57,,-2.80,,-4.74,-0.66,-5.39,,,
204,Georgia State,TAAC (West),,16,12,74.9,70.0,4.86,,-8.90,,-2.37,-3.03,-5.40,,,
205,Air Force,WAC (Mountain),,10,16,68.2,69.7,-1.54,,2.64,,-4.61,-0.85,-5.45,,,
206,St. Francis (NY),NEC,,15,12,71.4,69.6,1.85,,-6.89,,-3.23,-2.31,-5.54,,,
207,South Carolina State,MEAC,,22,8,74.3,70.0,4.27,,-10.23,,-2.54,-3.11,-5.65,,,
208,Texas State,Southland,,17,11,72.8,69.7,3.11,,-8.21,,-4.37,-1.28,-5.66,,,
209,UTSA,Southland,,16,11,75.9,72.3,3.59,,-9.77,,-1.94,-3.99,-5.93,,,
210,Towson,AEC,,8,20,63.7,66.0,-2.29,,-3.70,,-9.56,3.58,-5.98,,,
211,Saint Peter's,MAAC,,8,19,69.0,72.3,-3.33,,-2.85,,-3.85,-2.34,-6.18,,,
212,Buffalo,Mid-Cont,,15,13,74.9,72.6,2.32,,-6.39,,-1.37,-4.84,-6.20,,,
213,Eastern Washington,Big Sky,,16,11,76.0,78.9,-2.85,,-3.16,,2.10,-8.30,-6.20,,,
214,George Mason,CAA,,9,18,62.9,68.5,-5.67,,-0.58,,-5.35,-0.89,-6.24,,,
215,Northeastern,AEC,,14,14,67.5,68.8,-1.25,,-5.35,,-5.84,-0.76,-6.60,,,
216,Southeast Missouri State,OVC,,14,13,73.2,71.8,1.37,,-5.53,,-1.00,-5.61,-6.61,,,
217,Bucknell,Patriot,,13,15,69.5,68.6,0.89,,-6.82,,-5.33,-1.49,-6.82,,,
218,Loyola Marymount,WCC,,7,20,73.9,81.8,-7.96,,1.45,,3.29,-10.26,-6.97,,,
219,Marist,MAAC,,11,17,69.3,72.9,-3.68,,-3.52,,-4.19,-3.01,-7.20,,,
220,Houston,CUSA (National),,9,20,63.6,72.9,-9.34,,3.06,,-5.12,-2.15,-7.26,,,
221,UC Santa Barbara,Big West (West),,7,19,71.6,76.0,-4.46,,-0.31,,-2.13,-5.35,-7.47,,,
222,Southern,SWAC,,14,13,86.4,80.3,6.07,,-11.14,,6.33,-14.16,-7.83,,,
223,Jacksonville,Sun Belt,,8,19,65.8,70.9,-5.07,,-2.76,,-5.51,-2.33,-7.84,,,
224,Cal Poly,Big West (West),,14,14,84.5,85.6,-1.11,,-3.48,,10.20,-18.16,-7.96,,,
225,UC Irvine,Big West (West),,9,18,62.3,69.5,-7.26,,0.49,,-9.04,0.97,-8.07,,,
226,Harvard,Ivy,,13,13,69.7,68.9,0.81,,-8.28,,-3.13,-4.95,-8.08,,,
227,Louisiana-Monroe,Southland,,13,16,78.0,83.9,-5.86,,-4.34,,2.64,-10.73,-8.09,,,
228,Western Illinois,Mid-Cont,,16,11,71.0,70.2,0.81,,-6.69,,-5.88,-2.25,-8.13,,,
229,Cal State Long Beach,Big West (West),,10,19,63.8,69.6,-5.79,,-2.72,,-9.96,1.45,-8.51,,,
230,The Citadel,Southern (South),,15,13,64.9,62.2,2.68,,-9.03,,-10.59,2.07,-8.53,,,
231,Jackson State,SWAC,,14,13,69.8,67.9,1.89,,-6.84,,-7.91,-0.68,-8.58,,,
232,Chattanooga,Southern (South),,13,15,63.3,64.6,-1.36,,-4.84,,-8.94,0.23,-8.71,,,
233,Tennessee State,OVC,,13,16,71.2,70.7,0.48,,-5.71,,-5.65,-3.69,-9.34,,,
234,Samford,TAAC (West),,14,13,68.9,67.0,1.93,,-10.33,,-8.48,-1.02,-9.50,,,
235,Yale,Ivy,,12,14,65.1,67.0,-1.88,,-6.79,,-7.43,-2.29,-9.71,,,
236,Colgate,Patriot,,10,18,74.1,77.1,-2.96,,-6.77,,-0.30,-9.44,-9.74,,,
237,Texas Southern,SWAC,,15,16,75.1,76.0,-0.94,,-7.33,,-0.71,-9.10,-9.81,,,
238,Milwaukee,MW Coll,,3,24,61.1,73.0,-11.85,,1.97,,-7.02,-2.87,-9.89,,,
239,North Texas,Big West (East),,5,21,76.6,90.5,-13.92,,4.03,,6.93,-16.82,-9.89,,,
240,Northwestern State,Southland,,13,14,73.8,74.0,-0.19,,-7.78,,-4.25,-5.81,-10.06,,,
241,New Hampshire,AEC,,10,17,65.4,70.0,-4.52,,-4.55,,-7.07,-3.21,-10.28,,,
242,Western Carolina,Southern (North),,12,15,72.1,73.3,-1.22,,-6.36,,-2.70,-8.00,-10.70,,,
243,Sam Houston State,Southland,,9,17,69.4,74.0,-4.58,,-6.39,,-5.91,-5.06,-10.97,,,
244,Maryland-Baltimore County,Big South,,14,14,70.6,71.1,-0.46,,-9.37,,-5.20,-5.81,-11.01,,,
245,Ohio,MAC (East),,5,21,64.0,77.5,-13.50,,2.43,,-6.31,-4.76,-11.07,,,
246,Eastern Kentucky,OVC,,10,17,70.3,76.0,-5.78,,-4.95,,-4.10,-7.01,-11.11,,,
247,San Jose State,WAC (Pacific),,3,23,59.7,76.7,-17.08,,4.73,,-8.95,-2.17,-11.12,,,
248,Kansas City,Mid-Cont,,9,18,68.2,72.7,-4.52,,-5.32,,-6.65,-4.51,-11.16,,,
249,VMI,Southern (North),,14,13,75.4,74.9,0.56,,-5.66,,0.30,-11.58,-11.27,,,
250,UT Arlington,Southland,,13,16,71.7,74.1,-2.48,,-7.50,,-5.88,-5.47,-11.35,,,
251,Wagner,NEC,,13,16,73.4,76.4,-2.97,,-7.33,,-2.62,-8.93,-11.54,,,
252,Central Michigan,MAC (West),,5,21,68.8,81.4,-12.65,,2.47,,-0.96,-10.62,-11.57,,,
253,East Tennessee State,Southern (North),,11,16,65.9,66.9,-1.04,,-8.39,,-10.04,-1.54,-11.59,,,
