Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
187,California Baptist,WAC,,,17,14,71.9,66.9,4.94,,-2.96,,-1.19,-0.73,-1.92,100.39,102.71,-2.32
188,UNC Greensboro,Southern,,,17,14,65.0,64.8,0.23,,-1.60,,-7.60,5.60,-2.00,98.04,100.47,-2.43
189,UNC Wilmington,CAA,,,23,8,70.8,68.3,2.55,,-3.40,,-1.75,-0.27,-2.02,101.76,104.02,-2.27
190,Wright State,Horizon,,,20,13,75.6,71.1,4.52,,-5.70,,2.06,-4.13,-2.07,103.66,106.37,-2.70
191,Gardner-Webb,Big South,,,18,13,69.5,64.2,5.32,,-4.17,,-5.30,3.21,-2.10,96.24,98.17,-1.93
192,Navy,Patriot,,,21,10,65.2,59.7,5.52,,-6.40,,-8.04,5.71,-2.34,93.96,96.36,-2.40
193,East Tennessee State,Southern,,,15,17,72.1,73.0,-0.94,,0.05,,0.03,-2.38,-2.35,105.75,108.53,-2.77
194,Louisiana,Sun Belt,,,16,15,71.1,69.4,1.68,,-2.55,,-0.19,-2.15,-2.35,98.99,101.85,-2.86
195,Samford,Southern,,,21,11,74.7,73.8,0.84,,-1.34,,1.79,-4.38,-2.58,102.95,105.78,-2.84
196,UC Davis,Big West,,,12,10,68.6,66.7,1.95,,-3.63,,-3.33,0.75,-2.58,97.65,100.82,-3.17
197,Florida Gulf Coast,A-Sun,,,21,11,77.4,73.2,4.25,,-4.57,,4.56,-7.16,-2.60,104.04,107.57,-3.53
198,Tarleton State,WAC,,,14,17,64.6,65.3,-0.74,,-0.05,,-6.67,3.94,-2.73,99.23,102.68,-3.45
199,Northern Kentucky,Horizon,,,20,11,69.9,64.9,5.00,,-5.87,,-4.61,1.88,-2.74,100.15,103.64,-3.49
200,San Diego,WCC,,,15,16,65.8,67.3,-1.45,,2.05,,-5.21,2.47,-2.74,96.73,100.76,-4.03
201,Rice,CUSA,,,15,15,75.3,74.2,1.07,,-1.30,,3.54,-6.31,-2.76,104.44,108.72,-4.28
202,Arkansas State,Sun Belt,,,18,11,70.9,68.1,2.79,,-3.07,,-2.15,-0.69,-2.84,98.84,101.88,-3.04
203,South Florida,AAC,,,8,22,57.4,65.1,-7.63,,4.76,,-9.69,6.81,-2.88,91.82,96.28,-4.46
204,Norfolk State,MEAC,,,21,6,75.4,63.9,11.44,,-9.36,,-2.55,-0.35,-2.90,99.81,102.87,-3.06
205,Troy,Sun Belt,,,20,11,69.2,65.1,4.06,,-3.35,,-3.90,0.95,-2.95,97.09,100.54,-3.45
206,Indiana State,MVC,,,11,20,70.5,71.9,-1.48,,2.46,,-0.09,-2.88,-2.97,98.49,101.99,-3.50
207,Nicholls State,Southland,,,21,10,79.6,71.4,8.23,,-6.05,,1.39,-4.37,-2.98,100.14,103.75,-3.60
208,Mercer,Southern,,,16,17,70.5,70.5,-0.09,,-0.80,,-2.13,-0.94,-3.06,103.82,107.57,-3.75
209,Niagara,MAAC,,,14,15,67.7,65.7,2.07,,-3.26,,-5.29,2.04,-3.26,99.21,103.79,-4.58
210,Brown,Ivy,,,13,16,71.0,69.5,1.48,,-1.97,,-2.86,-0.52,-3.37,98.21,102.72,-4.51
211,Cornell,Ivy,,,15,10,79.4,74.6,4.88,,-3.62,,4.26,-7.66,-3.40,102.08,106.46,-4.39
212,La Salle,A-10,,,10,18,68.3,72.1,-3.86,,0.45,,-1.75,-1.66,-3.41,99.09,103.30,-4.21
213,Bellarmine,A-Sun,,,19,13,69.9,67.0,2.88,,-0.70,,-4.07,0.62,-3.45,105.92,110.23,-4.32
214,George Washington,A-10,,,12,17,67.7,71.9,-4.24,,0.75,,-1.20,-2.29,-3.50,97.95,102.44,-4.49
215,Marist,MAAC,,,14,15,69.3,67.9,1.48,,-5.00,,-2.65,-0.87,-3.52,99.65,104.33,-4.68
216,Pennsylvania,Ivy,,,12,15,72.4,75.8,-3.33,,-0.22,,1.86,-5.42,-3.56,103.52,107.98,-4.46
217,Northern Colorado,Big Sky,,,18,14,78.7,76.8,1.91,,-3.35,,5.61,-9.20,-3.59,107.00,111.78,-4.78
218,South Dakota,Summit,,,19,12,75.1,70.9,4.23,,-4.93,,-1.19,-2.57,-3.76,103.09,108.22,-5.14
219,Texas Southern,SWAC,,,15,12,69.0,66.6,2.37,,-6.41,,-4.37,0.33,-4.04,95.26,100.56,-5.30
